"filename", "language", "JSON with Comments", "MS SQL", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\1234\Desktop\mio-beauty-shop\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\1234\Desktop\mio-beauty-shop\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\1234\Desktop\mio-beauty-shop\docs\admin-supabase-setup.sql", "MS SQL", 0, 187, 0, 0, 0, 0, 0, 0, 3, 21, 211
"c:\Users\1234\Desktop\mio-beauty-shop\docs\production-security-report.md", "Markdown", 0, 0, 0, 0, 0, 43, 0, 0, 0, 14, 57
"c:\Users\1234\Desktop\mio-beauty-shop\docs\security-rls-verification.sql", "MS SQL", 0, 25, 0, 0, 0, 0, 0, 0, 10, 6, 41
"c:\Users\1234\Desktop\mio-beauty-shop\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 2, 3, 19
"c:\Users\1234\Desktop\mio-beauty-shop\next.config.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 4, 61
"c:\Users\1234\Desktop\mio-beauty-shop\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7799, 0, 1, 7800
"c:\Users\1234\Desktop\mio-beauty-shop\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
"c:\Users\1234\Desktop\mio-beauty-shop\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\banners\page.tsx", "TypeScript JSX", 0, 0, 0, 520, 0, 0, 0, 0, 2, 67, 589
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\brands\page.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 562, 0, 0, 0, 0, 2, 79, 643
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\customers\page.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\delivery-settings\page.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\login\page.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 14, 110
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\admin\order-items\page.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
